species	tissue_class	tissue_type	cell_name	marker	symbol	marker_source
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G3	Fxyd6	Fxyd6	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G3	Map1lc3a	Map1lc3a	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P1	Clip1	Clip1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Adam23	Adam23	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G1	Mfap5	Mfap5	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G3	Cryab	Cryab	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G3	Cyp2f2	Cyp2f2	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Scg3	Scg3	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Rps26	Rps26	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Col1a1	Col1a1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P2	Arid5a	Arid5a	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P3	Usp22	Usp22	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P1	Dpt	Dpt	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G1	Aes	Tle5	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P2	Sema5a	Sema5a	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Sat1	Sat1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Ptms	Ptms	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P2	Sat1	Sat1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Figf	Vegfd	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Rrbp1	Rrbp1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P1	Krt19	Krt19	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P2	Slc9a3r2	Slc9a3r2	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P3	Cxcl12	Cxcl12	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P1	Loxl1	Loxl1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G1	Marcks	Marcks	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G3	Epha3	Epha3	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G3	Podn	Podn	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P1	Anxa3	Anxa3	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G3	Cebpb	Cebpb	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Tmem119	Tmem119	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G3	Ecm2	Ecm2	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G3	Pros1	Pros1	Single-cell sequencing
